,issue_no,created_at,closed_at,assignees_no,labels,closes_no,author_association,comments_no,title,url
48,1122,2021-12-16 09:52:13+00:00,,2,['build'],0,MEMBER,2.0,use merging to back port to long lived branch,https://api.github.com/repos/cosmos/gaia/issues/1122
49,1067,2021-11-16 15:06:23+00:00,,0,"['governance', 'nice to have']",0,MEMBER,3.0,Archive IPFS links in old governance proposals,https://api.github.com/repos/cosmos/gaia/issues/1067
50,1054,2021-11-05 14:53:23+00:00,,2,['docs'],0,MEMBER,4.0,Automate and improve paramater documenting process,https://api.github.com/repos/cosmos/gaia/issues/1054
51,1048,2021-10-28 13:21:06+00:00,,1,['nice to have'],0,MEMBER,4.0,Add CI job to cover important IBC features,https://api.github.com/repos/cosmos/gaia/issues/1048
52,978,2021-09-18 09:33:20+00:00,,0,['governance'],0,MEMBER,4.0,make more gov proposals,https://api.github.com/repos/cosmos/gaia/issues/978
53,977,2021-09-18 09:32:01+00:00,,0,"['docs', 'code-hygiene', 'governance']",0,MEMBER,5.0,Clean up Gaia repo,https://api.github.com/repos/cosmos/gaia/issues/977
54,966,2021-09-13 11:03:37+00:00,,2,['build'],0,MEMBER,0.0,support upgrade to tendermint 0.35,https://api.github.com/repos/cosmos/gaia/issues/966
55,959,2021-08-30 03:51:59+00:00,,1,"['enhancement', 'build']",0,CONTRIBUTOR,1.0,Automatically download Genesis,https://api.github.com/repos/cosmos/gaia/issues/959
56,943,2021-08-18 15:52:53+00:00,,2,"['enhancement', 'build']",0,MEMBER,11.0,add seed nodes to binary,https://api.github.com/repos/cosmos/gaia/issues/943
57,938,2021-08-09 05:07:32+00:00,,1,"['more-info-needed', 'stale']",0,NONE,2.0,failed to execute message : insufficient fund,https://api.github.com/repos/cosmos/gaia/issues/938
58,1035,2021-08-07 12:43:17+00:00,,1,"['docs', 'governance']",0,MEMBER,4.0,deduplicate previous proposals file,https://api.github.com/repos/cosmos/gaia/issues/1035
59,927,2021-07-30 11:45:56+00:00,,0,[],0,CONTRIBUTOR,2.0,Default inbound connections,https://api.github.com/repos/cosmos/gaia/issues/927
60,916,2021-07-19 07:11:17+00:00,,0,['enhancement'],0,NONE,3.0,Docker for gaia 5.x.x,https://api.github.com/repos/cosmos/gaia/issues/916
61,902,2021-07-12 03:35:18+00:00,,0,['code-hygiene'],0,MEMBER,2.0,Set a standard for choosing upgrade plan names,https://api.github.com/repos/cosmos/gaia/issues/902
62,1036,2021-06-25 22:35:23+00:00,,0,['docs'],0,MEMBER,2.0,multi-language translation strategy,https://api.github.com/repos/cosmos/gaia/issues/1036
63,887,2021-06-25 15:08:10+00:00,,0,"['good first issue', 'devops']",0,CONTRIBUTOR,3.0,Disable unnecessary checks when updating only md files,https://api.github.com/repos/cosmos/gaia/issues/887
64,1038,2021-06-10 18:24:33+00:00,,0,"['docs', 'governance']",0,MEMBER,1.0,Deduplicate information and update cli commands in submitting.md,https://api.github.com/repos/cosmos/gaia/issues/1038
65,870,2021-06-04 10:48:18+00:00,,0,[],0,NONE,2.0,Use 'file' as the default keyring on the headless Linux systems,https://api.github.com/repos/cosmos/gaia/issues/870
66,846,2021-05-04 11:32:33+00:00,,0,[],0,CONTRIBUTOR,2.0,Identify and develop gaia-specific tests,https://api.github.com/repos/cosmos/gaia/issues/846
67,831,2021-04-22 20:53:12+00:00,,0,[],0,NONE,1.0,gaiad keys parse as endpoint for API,https://api.github.com/repos/cosmos/gaia/issues/831
68,822,2021-04-15 19:51:24+00:00,,0,['stale'],0,CONTRIBUTOR,2.0,Consider adding DCO to repo,https://api.github.com/repos/cosmos/gaia/issues/822
69,819,2021-04-13 15:34:20+00:00,,0,[],0,CONTRIBUTOR,2.0,Add version into gaia-issued validator messages,https://api.github.com/repos/cosmos/gaia/issues/819
70,811,2021-04-12 12:24:57+00:00,,0,[],0,NONE,1.0,Using gaiad CLI commands leaves dangling dbus-daemon processes,https://api.github.com/repos/cosmos/gaia/issues/811
71,801,2021-04-01 16:55:52+00:00,,0,['stale'],0,CONTRIBUTOR,0.0,Fortio RPC response time testing,https://api.github.com/repos/cosmos/gaia/issues/801
72,796,2021-03-26 10:48:01+00:00,,0,[],0,NONE,2.0,multisign：couldn't verify signature: unable to verify single signer signature,https://api.github.com/repos/cosmos/gaia/issues/796
73,719,2021-03-03 14:56:35+00:00,,0,[],0,CONTRIBUTOR,1.0,[Hub] Improve CLI UX for joining mainnet,https://api.github.com/repos/cosmos/gaia/issues/719
74,705,2021-02-27 11:44:41+00:00,,0,[],0,CONTRIBUTOR,1.0,One-Liner install script,https://api.github.com/repos/cosmos/gaia/issues/705
75,673,2021-02-21 13:46:59+00:00,,0,['bug'],0,NONE,2.0,validator set is nil in genesis and still empty after InitChain,https://api.github.com/repos/cosmos/gaia/issues/673
76,662,2021-02-19 15:05:29+00:00,,0,['docs'],0,CONTRIBUTOR,0.0,Ensure documentation for kms usage is present and clear,https://api.github.com/repos/cosmos/gaia/issues/662
77,626,2021-02-12 17:02:18+00:00,,0,[],0,MEMBER,1.0,IBC Client Update Proposals are incorrectly routed,https://api.github.com/repos/cosmos/gaia/issues/626
78,590,2021-01-28 03:12:44+00:00,,0,[],0,MEMBER,3.0,Summary of Ledger Nano Transaction Signing,https://api.github.com/repos/cosmos/gaia/issues/590
79,577,2021-01-26 03:26:59+00:00,,0,[],0,MEMBER,5.0,KMS Signing support for relayer txs,https://api.github.com/repos/cosmos/gaia/issues/577
80,1042,2020-10-18 15:07:49+00:00,,1,"['docs', 'governance']",0,MEMBER,3.0,Update ParamChange proposals with more details about where to find keys,https://api.github.com/repos/cosmos/gaia/issues/1042
